Year,Month,Date,Station,Min_Temp_C,Avg_Temp_C,Max_Temp_C,Avg_Humidity_%,Avg_Pressure_hPa,Avg_Wind_Speed_kmh,Max_Wind_Speed_kmh,Total_Precipitation_mm,Common_Condition
2005,12,2005-12-26,Mace Head,0.2,5.19,9.2,86.25,1009.5,21.57,35.0,67.9,Cloudy
2005,12,2005-12-27,Mace Head,0.5,5.11,9.6,84.48,1008.95,17.33,34.7,92.8,Rainy
2005,12,2005-12-28,Mace Head,-0.3,4.78,8.9,85.1,1008.7,19.57,34.8,111.0,Rainy
2005,12,2005-12-29,Mace Head,-0.1,4.91,9.2,84.08,1010.44,20.73,34.6,64.5,Rainy
2005,12,2005-12-30,Mace Head,1.1,4.75,9.8,83.32,1013.02,21.19,33.0,67.9,Cloudy
2005,12,2005-12-31,Mace Head,1.5,5.53,10.1,84.7,1013.98,22.22,34.9,112.1,Rainy
2006,1,2006-01-01,Mace Head,-0.4,5.09,9.4,84.48,1011.5,20.05,33.6,84.7,Rainy
2006,1,2006-01-02,Mace Head,1.0,4.67,9.7,86.58,1009.64,21.14,34.9,107.3,Rainy
2006,1,2006-01-03,Mace Head,0.4,4.94,10.5,83.12,1009.86,17.37,33.5,82.7,Rainy
2006,1,2006-01-04,Mace Head,0.2,4.92,9.1,84.48,1010.54,21.58,33.9,72.0,Rainy
2006,1,2006-01-05,Mace Head,0.6,5.27,9.2,84.43,1010.22,20.76,33.4,88.7,Rainy
2006,1,2006-01-06,Mace Head,0.6,5.08,9.4,83.22,1011.51,19.5,30.8,81.1,Rainy
2006,1,2006-01-07,Mace Head,-0.2,4.99,9.5,83.85,1011.47,19.22,30.5,113.5,Rainy
2006,1,2006-01-08,Mace Head,-0.6,4.45,9.6,86.09,1009.86,19.67,34.9,72.8,Rainy
2006,1,2006-01-09,Mace Head,1.0,4.87,9.4,84.49,1012.5,20.21,33.5,85.3,Rainy
2006,1,2006-01-10,Mace Head,1.4,4.9,10.6,83.78,1008.31,21.09,34.7,90.4,Rainy
2006,1,2006-01-11,Mace Head,1.7,5.48,9.1,84.67,1011.46,21.88,34.9,127.0,Rainy
2006,1,2006-01-12,Mace Head,-0.1,4.68,9.1,84.3,1008.23,22.83,34.0,104.7,Rainy
2006,1,2006-01-13,Mace Head,0.9,5.18,10.5,85.06,1011.43,20.31,34.0,92.6,Rainy
2006,1,2006-01-14,Mace Head,0.6,4.58,9.7,87.96,1008.24,19.07,34.9,81.2,Rainy
2006,1,2006-01-15,Mace Head,0.4,5.14,9.4,86.87,1011.16,19.38,35.0,99.1,Rainy
2006,1,2006-01-16,Mace Head,0.8,4.92,9.1,86.42,1010.02,21.83,32.0,76.8,Rainy
2006,1,2006-01-17,Mace Head,0.4,4.82,10.0,84.75,1010.65,23.24,34.5,118.8,Rainy
2006,1,2006-01-18,Mace Head,1.7,5.52,9.7,82.68,1009.7,20.38,32.2,100.2,Rainy
2006,1,2006-01-19,Mace Head,-0.6,4.73,9.2,87.19,1008.35,20.95,33.8,81.6,Rainy
2006,1,2006-01-20,Mace Head,1.2,5.35,10.3,83.96,1011.12,21.14,32.4,83.2,Rainy
2006,1,2006-01-21,Mace Head,-0.1,4.47,8.6,86.56,1009.18,19.53,33.6,101.3,Rainy
2006,1,2006-01-22,Mace Head,0.3,5.21,9.8,85.1,1011.35,21.86,34.3,106.8,Rainy
2006,1,2006-01-23,Mace Head,-0.1,5.02,9.7,85.89,1011.75,15.74,34.6,91.5,Rainy
2006,1,2006-01-24,Mace Head,-0.1,5.01,10.0,85.54,1009.1,20.75,34.4,104.4,Rainy
2006,1,2006-01-25,Mace Head,1.3,5.28,8.8,84.84,1008.34,20.4,33.1,128.8,Rainy
2006,1,2006-01-26,Mace Head,0.5,5.12,8.9,86.15,1006.49,18.27,32.5,107.1,Rainy
2006,1,2006-01-27,Mace Head,2.1,5.29,9.2,84.95,1013.33,18.06,31.4,61.8,Rainy
2006,1,2006-01-28,Mace Head,0.6,5.18,10.5,84.32,1010.24,18.99,34.1,77.1,Rainy
2006,1,2006-01-29,Mace Head,-0.5,5.03,8.4,84.86,1009.44,22.52,33.3,96.6,Rainy
2006,1,2006-01-30,Mace Head,1.6,5.05,9.1,85.85,1009.89,18.2,34.9,71.6,Rainy
2006,1,2006-01-31,Mace Head,-0.2,4.98,10.4,87.7,1008.55,18.54,34.8,121.0,Rainy
2006,2,2006-02-01,Mace Head,1.7,5.03,8.7,86.22,1010.84,21.07,30.6,82.5,Rainy
2006,2,2006-02-02,Mace Head,0.8,5.33,9.7,83.4,1013.58,18.04,30.1,88.8,Rainy
2006,2,2006-02-03,Mace Head,0.8,4.48,8.5,85.11,1011.44,17.47,33.9,59.2,Rainy
2006,2,2006-02-04,Mace Head,1.9,5.52,9.7,85.96,1008.49,18.2,33.3,91.9,Rainy
2006,2,2006-02-05,Mace Head,0.4,4.56,8.4,82.95,1011.62,19.38,34.7,105.5,Rainy
